Raw-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,450mm,Frame,,,,,Battery,,,,,Porp,,,,,ESC,,,,Compute,,,,Weight,,,Motor Selection,,,,,,Power,,,,,,compute,,,, Flighttime (min) @ 85% charge,,,,,,,,,,,,
,Drone,Frame,w-Frame weight,Wheelbase,w-RC reciever,w-Battery,cell-battery,voltage,capacity battery,discharche,max A,w-prop,w-tele,w-misc,w-gps,w-ppm,w-esc,esc-A,w-motor,TWR,Compute,w-Compute ,compue pow,,w-total,thrust-needed,per-m-thrust,prop,prop-r,kv,max-thrust,max-draw,final-thurst,Avg 30% load,Avg 50% load,Avg 70% load,Avg 100%load,hover,Increase,%compute 30%,%compute 50%,%compute 70%,%compute 100%,0.3,0.5,0.7,1,,,Compute Min,Compute Max,0.3,,0.7,,weight
,Our 3s,,60,100,15,90.935,3,11.1,1000,50,50,10,15,10,10,9,80,20,220,2,navio+rpi,20,4,,539.935,1079.87,269.9675,2,2.54,935,670,6,2680,52.8696,137.2,190.48,270.4,418.9259639,0,7.565784496,2.915451895,2.099958001,1.479289941,10.70747651,4.126093294,2.971965561,2.093565089,Our 3s,,3,20,5.674338372,37.82892248,2.431859302,16.21239535,539.935
,,,60,100,15,164.935,3,11.1,2000,50,100,10,15,10,10,9,80,20,220,2,navio+rpi,20,4,,613.935,1227.87,306.9675,2,2.54,935,670,9,2680,53.22240717,292.8096287,372.7296287,492.6096287,507.9355926,89.00962869,7.515631503,1.366075295,1.073163948,0.812001992,21.27299497,3.866676124,3.037590556,2.29837164,,,3,20,5.636723627,37.57815751,2.415738697,16.10492465,613.935
,,,60,100,15,284,3,11.1,3000,50,150,10,15,10,10,9,80,20,220,2,navio+rpi,20,4,,733,1466,366.5,2,2.54,935,670,13,2680,105.2197947,536.3191788,651.7591788,824.9191788,662.6451427,243.7191788,3.801566057,0.745824531,0.613723616,0.484895988,16.14049909,3.166584503,2.605717043,2.05874714,,,3,20,2.851174543,19.00783028,1.221931947,8.146212979,733
,,,60,100,15,312.935,3,11.1,4000,50,200,10,15,10,10,9,80,20,220,2,navio+rpi,20,4,,761.935,1523.87,380.9675,2,2.54,935,670,15,2680,121.7851302,620.3405206,753.5405206,953.3405206,702.2664846,283.3405206,3.284473231,0.644807145,0.530827459,0.419577256,18.59340296,3.650253247,3.005014247,2.375226848,,,3,20,2.463354924,16.42236616,1.055723539,7.038156924,761.935
,,,60,100,15,386.935,3,11.1,5000,50,250,10,15,10,10,9,80,20,220,2,navio+rpi,20,4,,835.935,1671.87,417.9675,2,2.54,935,670,19,2680,161.2932874,813.8931496,982.6131496,1235.69315,807.0191135,388.0931496,2.479954414,0.491465004,0.407077801,0.323704959,17.54877742,3.477729234,2.880584288,2.290617214,,,3,20,1.85996581,12.39977207,0.797128204,5.31418803,835.935
,,,60,100,15,460.935,3,11.1,6000,50,300,10,15,10,10,9,80,20,260,2,navio+rpi,20,4,,949.935,1899.87,474.9675,2,2.54,935,833,25,3332,223.9211529,1117.684612,1339.684612,1672.684612,977.6105755,558.6846115,1.786343071,0.357882712,0.298577737,0.239136534,15.16873219,3.038961049,2.535372856,2.030627876,,,3,20,1.339757304,8.931715357,0.574181702,3.82787801,949.935
,,,60,100,15,534.935,3,11.1,7000,50,350,10,15,10,10,9,80,20,260,2,navio+rpi,20,4,,1023.935,2047.87,511.9675,2,2.54,935,833,28,3332,263.0187851,1300.71514,1549.35514,1922.31514,1094.041104,675.1151405,1.520803922,0.307523137,0.258171926,0.208082427,15.06622426,3.046554835,2.557644724,2.061420584,,,3,20,1.140602942,7.604019611,0.488829832,3.258865547,1023.935
,,,60,100,15,608.935,3,11.1,8000,50,400,10,15,10,10,9,80,20,260,2,navio+rpi,20,4,,1097.935,2195.87,548.9675,2,2.54,935,833,32,3332,306.5181724,1510.23269,1794.39269,2220.63269,1214.758654,795.8326896,1.304979724,0.264859848,0.222916646,0.180128844,14.77498043,2.998743194,2.523862266,2.039418775,,,3,20,0.978734793,6.52489862,0.419457768,2.796385123,1097.935
,Our 6s,,60,100,15,275.85,6,22.2,1000,50,50,10,15,10,10,9,80,20,220,2,navio+rpi,20,4,,724.85,1449.7,362.425,2,2.54,935,670,14,2680,94.24,625.6,874.24,1247.2,651.6243005,0,4.244482173,0.639386189,0.457540264,0.320718409,12.01400679,1.809782609,1.295067716,0.907793457,Our 6s,,3,20,3.18336163,21.22241087,1.364297841,9.095318943,724.85
,,,60,100,15,391.85,6,22.2,2000,50,100,10,15,10,10,9,80,20,220,2,navio+rpi,20,4,,840.85,1681.7,420.425,2,2.54,935,670,25,2680,133.2036387,1276.522742,1720.522742,2386.522742,814.1470427,162.5227421,3.00292097,0.313351252,0.232487482,0.167607873,16.99953561,1.77388144,1.316111635,0.948828167,,,3,20,2.252190727,15.01460485,0.965224597,6.434830649,840.85
,,,60,100,15,507.85,6,22.2,3000,50,150,10,15,10,10,9,80,20,220,2,navio+rpi,20,4,,956.85,1913.7,478.425,2,2.54,935,670,9,2680,145.110093,740.2803721,900.1203721,1139.880372,988.3046727,336.6803721,2.756527762,0.540335817,0.444385009,0.350914017,23.40705549,4.588261594,3.773495307,2.979786373,,,3,20,2.067395822,13.78263881,0.886026781,5.906845204,956.85
,,,60,100,15,623.85,6,22.2,4000,50,200,10,15,10,10,9,80,20,260,2,navio+rpi,20,4,,1112.85,2225.7,556.425,2,2.54,935,833,10,3332,214.5928078,1035.971231,1213.571231,1479.971231,1239.595532,587.9712312,1.863995369,0.386111108,0.329605704,0.270275524,21.10415557,4.371549966,3.731795781,3.060059483,,,3,20,1.397996527,9.319976846,0.599141369,3.994275791,1112.85
,,,60,100,15,739.85,6,22.2,5000,50,250,10,15,10,10,9,80,20,260,2,navio+rpi,20,4,,1228.85,2457.7,614.425,2,2.54,935,833,11,3332,270.9487028,1279.154811,1474.514811,1767.554811,1438.379112,786.7548113,1.476294206,0.312706481,0.271275674,0.226301327,20.89325374,4.425578476,3.839228983,3.202729536,,,3,20,1.107220654,7.381471028,0.474523138,3.163487583,1228.85
