Wheelbase,Prop,Weight,V,MinW,minKV,A,,,
800,20,1100,14.8,75,800,5.067567568,,,
800,20,1200,14.8,85,840,5.743243243,,,
800,20,1300,14.8,95,870,6.418918919,,,
800,20,1400,14.8,105,900,7.094594595,,,
800,20,1500,14.8,115,940,7.77027027,,,
800,20,1600,14.8,130,970,8.783783784,,,
800,20,1700,14.8,140,1000,9.459459459,,,
800,20,1800,14.8,150,1030,10.13513514,,,
800,20,1900,14.8,165,1050,11.14864865,,,
800,20,2000,14.8,175,1080,11.82432432,,,
800,20,2100,14.8,190,1110,12.83783784,,,
800,20,2200,14.8,205,1140,13.85135135,,,
800,20,2300,14.8,220,1160,14.86486486,,,
800,20,2400,14.8,230,1190,15.54054054,,,
800,20,2500,14.8,245,1210,16.55405405,,,
800,20,2600,14.8,260,1230,17.56756757,,,
800,20,2700,14.8,275,1260,18.58108108,,,
800,20,2800,14.8,290,1280,19.59459459,,,
800,20,100,18.5,5,240,0.27027027,,,
800,20,200,18.5,10,340,0.540540541,,,
800,20,300,18.5,15,420,0.810810811,,,
800,20,400,18.5,20,480,1.081081081,,,
800,20,500,18.5,25,540,1.351351351,,,
800,20,600,18.5,30,590,1.621621622,,,
800,20,700,18.5,40,640,2.162162162,,,
800,20,800,18.5,45,680,2.432432432,,,
800,20,900,18.5,55,720,2.972972973,,,
800,20,1000,18.5,65,760,3.513513514,,,
800,20,1100,18.5,75,800,4.054054054,,,
800,20,1200,18.5,85,840,4.594594595,,,
800,20,1300,18.5,95,870,5.135135135,,,
800,20,1400,18.5,105,900,5.675675676,,,
800,20,1500,18.5,115,940,6.216216216,,,
800,20,1600,18.5,130,970,7.027027027,,,
800,20,1700,18.5,140,1000,7.567567568,,,
800,20,1800,18.5,150,1030,8.108108108,,,
800,20,1900,18.5,165,1050,8.918918919,,,
800,20,2000,18.5,175,1080,9.459459459,,,
800,20,2100,18.5,190,1110,10.27027027,,,
800,20,2200,18.5,205,1140,11.08108108,,,
800,20,2300,18.5,220,1160,11.89189189,,,
800,20,2400,18.5,230,1190,12.43243243,,,
800,20,2500,18.5,245,1210,13.24324324,,,
800,20,2600,18.5,260,1230,14.05405405,,,
800,20,2700,18.5,275,1260,14.86486486,,,
800,20,2800,18.5,290,1280,15.67567568,,,
800,20,100,22.2,5,240,0.225225225,,,
800,20,200,22.2,10,340,0.45045045,,,
800,20,300,22.2,15,420,0.675675676,,,
800,20,400,22.2,20,480,0.900900901,,,
800,20,500,22.2,25,540,1.126126126,,,
800,20,600,22.2,30,590,1.351351351,,,
800,20,700,22.2,40,640,1.801801802,,,
800,20,800,22.2,45,680,2.027027027,,,
800,20,900,22.2,55,720,2.477477477,,,
800,20,1000,22.2,65,760,2.927927928,,,
800,20,1100,22.2,75,800,3.378378378,,,
800,20,1200,22.2,85,840,3.828828829,,,
800,20,1300,22.2,95,870,4.279279279,,,
800,20,1400,22.2,105,900,4.72972973,,,
800,20,1500,22.2,115,940,5.18018018,,,
800,20,1600,22.2,130,970,5.855855856,,,
800,20,1700,22.2,140,1000,6.306306306,,,
800,20,1800,22.2,150,1030,6.756756757,,,
800,20,1900,22.2,165,1050,7.432432432,,,
800,20,2000,22.2,175,1080,7.882882883,,,
800,20,2100,22.2,190,1110,8.558558559,,,
800,20,2200,22.2,205,1140,9.234234234,,,
800,20,2300,22.2,220,1160,9.90990991,,,
800,20,2400,22.2,230,1190,10.36036036,,,
800,20,2500,22.2,245,1210,11.03603604,,,
800,20,2600,22.2,260,1230,11.71171171,,,
800,20,2700,22.2,275,1260,12.38738739,,,
800,20,2800,22.2,290,1280,13.06306306,,,
